,Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,Opposition,Ground,Match Date
0,England,won,46.0,15.0,31.0,7.0,4.0,1.0,0.0,v Italy,Rome,4 Feb 2018
1,England,won,48.0,14.0,34.0,7.0,5.0,1.0,0.0,v Samoa,Twickenham,25 Nov 2017
2,England,won,30.0,6.0,24.0,4.0,2.0,2.0,0.0,v Australia,Twickenham,18 Nov 2017
3,England,won,21.0,8.0,13.0,2.0,1.0,3.0,0.0,v Argentina,Twickenham,11 Nov 2017
4,England,won,35.0,25.0,10.0,4.0,3.0,2.0,1.0,v Argentina,Santa Fe,17 Jun 2017
5,England,won,38.0,34.0,4.0,4.0,3.0,4.0,0.0,v Argentina,San Juan,10 Jun 2017
6,England,lost,9.0,13.0,-4.0,0.0,0.0,3.0,0.0,v Ireland,Lansdowne Road,18 Mar 2017
7,England,won,61.0,21.0,40.0,7.0,7.0,4.0,0.0,v Scotland,Twickenham,11 Mar 2017
8,England,won,36.0,15.0,21.0,6.0,3.0,0.0,0.0,v Italy,Twickenham,26 Feb 2017
9,England,won,21.0,16.0,5.0,2.0,1.0,3.0,0.0,v Wales,Millennium Stadium,11 Feb 2017
10,England,won,19.0,16.0,3.0,1.0,1.0,4.0,0.0,v France,Twickenham,4 Feb 2017
11,England,won,37.0,21.0,16.0,4.0,4.0,3.0,0.0,v Australia,Twickenham,3 Dec 2016
12,England,won,27.0,14.0,13.0,2.0,1.0,5.0,0.0,v Argentina,Twickenham,26 Nov 2016
13,England,won,58.0,15.0,43.0,9.0,5.0,1.0,0.0,v Fiji,Twickenham,19 Nov 2016
14,England,won,37.0,21.0,16.0,4.0,4.0,3.0,0.0,v South Africa,Twickenham,12 Nov 2016
15,England,won,44.0,40.0,4.0,4.0,3.0,6.0,0.0,v Australia,Sydney,25 Jun 2016
16,England,won,23.0,7.0,16.0,2.0,2.0,3.0,0.0,v Australia,Melbourne,18 Jun 2016
17,England,won,39.0,28.0,11.0,3.0,3.0,6.0,0.0,v Australia,Brisbane,11 Jun 2016
18,England,won,27.0,13.0,14.0,5.0,1.0,0.0,0.0,v Wales,Twickenham,29 May 2016
19,England,won,31.0,21.0,10.0,3.0,2.0,4.0,0.0,v France,Stade de France,19 Mar 2016
20,England,won,25.0,21.0,4.0,1.0,1.0,6.0,0.0,v Wales,Twickenham,12 Mar 2016
21,England,won,21.0,10.0,11.0,2.0,1.0,3.0,0.0,v Ireland,Twickenham,27 Feb 2016
22,England,won,40.0,9.0,31.0,5.0,3.0,3.0,0.0,v Italy,Rome,14 Feb 2016
23,England,won,15.0,9.0,6.0,2.0,1.0,1.0,0.0,v Scotland,Murrayfield,6 Feb 2016
24,England,won,60.0,3.0,57.0,10.0,5.0,0.0,0.0,v Uruguay,Manchester,10 Oct 2015
25,England,lost,13.0,33.0,-20.0,1.0,1.0,2.0,0.0,v Australia,Twickenham,3 Oct 2015
26,England,lost,25.0,28.0,-3.0,1.0,1.0,5.0,1.0,v Wales,Twickenham,26 Sep 2015
27,England,won,35.0,11.0,24.0,4.0,3.0,3.0,0.0,v Fiji,Twickenham,18 Sep 2015
28,England,won,21.0,13.0,8.0,2.0,1.0,3.0,0.0,v Ireland,Twickenham,5 Sep 2015
29,England,lost,20.0,25.0,-5.0,2.0,2.0,2.0,0.0,v France,Stade de France,22 Aug 2015
30,England,won,19.0,14.0,5.0,3.0,2.0,0.0,0.0,v France,Twickenham,15 Aug 2015
31,England,won,55.0,35.0,20.0,7.0,7.0,2.0,0.0,v France,Twickenham,21 Mar 2015
32,England,won,25.0,13.0,12.0,3.0,2.0,2.0,0.0,v Scotland,Twickenham,14 Mar 2015
33,England,lost,9.0,19.0,-10.0,0.0,0.0,2.0,1.0,v Ireland,Lansdowne Road,1 Mar 2015
34,England,won,47.0,17.0,30.0,6.0,4.0,3.0,0.0,v Italy,Twickenham,14 Feb 2015
35,England,won,21.0,16.0,5.0,2.0,1.0,3.0,0.0,v Wales,Millennium Stadium,6 Feb 2015
36,England,won,26.0,17.0,9.0,2.0,2.0,4.0,0.0,v Australia,Twickenham,29 Nov 2014
37,England,won,28.0,9.0,19.0,3.0,2.0,3.0,0.0,v Samoa,Twickenham,22 Nov 2014
38,England,lost,28.0,31.0,-3.0,3.0,2.0,3.0,0.0,v South Africa,Twickenham,15 Nov 2014
39,England,lost,21.0,24.0,-3.0,2.0,1.0,3.0,0.0,v New Zealand,Twickenham,8 Nov 2014
40,England,lost,13.0,36.0,-23.0,1.0,1.0,2.0,0.0,v New Zealand,Hamilton,21 Jun 2014
41,England,lost,27.0,28.0,-1.0,3.0,3.0,2.0,0.0,v New Zealand,Dunedin,14 Jun 2014
42,England,lost,15.0,20.0,-5.0,0.0,0.0,5.0,0.0,v New Zealand,Auckland,7 Jun 2014
43,England,won,52.0,11.0,41.0,7.0,7.0,1.0,0.0,v Italy,Rome,15 Mar 2014
44,England,won,29.0,18.0,11.0,2.0,2.0,5.0,0.0,v Wales,Twickenham,9 Mar 2014
45,England,won,13.0,10.0,3.0,1.0,1.0,2.0,0.0,v Ireland,Twickenham,22 Feb 2014
46,England,won,20.0,0.0,20.0,2.0,2.0,1.0,1.0,v Scotland,Murrayfield,8 Feb 2014
47,England,lost,24.0,26.0,-2.0,2.0,1.0,3.0,1.0,v France,Stade de France,1 Feb 2014
0,Scotland,lost,7.0,34.0,-27.0,1.0,1.0,0.0,0.0,v Wales,Millennium Stadium,3 Feb 2018
1,Scotland,won,53.0,24.0,29.0,8.0,5.0,1.0,0.0,v Australia,Murrayfield,25 Nov 2017
2,Scotland,lost,17.0,22.0,-5.0,2.0,2.0,1.0,0.0,v New Zealand,Murrayfield,18 Nov 2017
3,Scotland,won,44.0,38.0,6.0,6.0,4.0,2.0,0.0,v Samoa,Murrayfield,11 Nov 2017
4,Scotland,lost,22.0,27.0,-5.0,3.0,2.0,1.0,0.0,v Fiji,Suva,24 Jun 2017
5,Scotland,won,24.0,19.0,5.0,3.0,3.0,1.0,0.0,v Australia,Sydney,17 Jun 2017
6,Scotland,won,34.0,13.0,21.0,5.0,3.0,1.0,0.0,v Italy,Singpore,10 Jun 2017
7,Scotland,won,29.0,0.0,29.0,4.0,3.0,1.0,0.0,v Italy,Murrayfield,18 Mar 2017
8,Scotland,lost,21.0,61.0,-40.0,3.0,3.0,0.0,0.0,v England,Twickenham,11 Mar 2017
9,Scotland,won,29.0,13.0,16.0,2.0,2.0,5.0,0.0,v Wales,Murrayfield,25 Feb 2017
10,Scotland,lost,16.0,22.0,-6.0,2.0,0.0,2.0,0.0,v France,Stade de France,12 Feb 2017
11,Scotland,won,27.0,22.0,5.0,3.0,3.0,2.0,0.0,v Ireland,Murrayfield,4 Feb 2017
12,Scotland,won,43.0,16.0,27.0,6.0,5.0,1.0,0.0,v Georgia,Kilmarnock,26 Nov 2016
13,Scotland,won,19.0,16.0,3.0,1.0,1.0,4.0,0.0,v Argentina,Murrayfield,19 Nov 2016
